Titel;ISSN print;ISSN online
4OR. Quarterly Journal of the Belgian, French and Italian Operations Research Societies;1619-4500;1614-2411
AEÜ - International Journal of Electronics and Communications;1434-8411;1618-0399
AIMS Mathematics;;2473-6988
AIUB Journal of Science and Engineering;1608-3679;
ALEA. Latin American Journal of Probability and Mathematical Statistics;;1980-0436
AStA. Advances in Statistical Analysis;1863-8171;1863-818X
Accreditation and Quality Assurance;0949-1775;1432-0517
Acta Applicandae Mathematicae;0167-8019 ;1572-9036
Acta Mechanica; 0001-5970;1619-6937
Acta Physica Polonica B;0587-4254;1509-5770
Advances in Applied Mathematics;0196-8858;
Advanced Functional Materials;1616-301X;1616-3028
Advances in Applied Mathematics and Mechanics;2070-0733;2075-1354
Advances in Applied Probability. Sheffield Univ.;0001-8678;1475-6064
Advances in Calculus of Variations;1864-8258;1864-8266
Advances in Computational Mathematics;1019-7168;1572-9044
Advances in Differential Equations;1079-9389;1079-9389
Advances in Mathematical Physics;1687-9120;1687-9139
Advances in Mathematical Sciences and Applications;1343-4373;
Advances in Mathematics;0001-8708;1090-2082
Advances in Nonlinear Analysis;2191-9496;2191-950X
Advances in Operations Research;1687-9147;1687-9155
Advances in Optical Technologies;1687-6393;1687-6407
Advances in Physics;0001-8732;1460-6976
Advances in Theoretical and Mathematical Physics;1095-0761;1095-0753
Advances in Water Resources;0309-1708;1872-9657
American Journal of Mathematics;0002-9327;1080-6377
American Mathematical Society. Bulletin. New Series;0273-0979;1088-9485
Analysis & PDE;2157-5045;1948-206X
Analysis and Applications;0219-5305;0219-5305
Analysis. International Mathematical Journal of Analysis and its Applications;0174-4747;2196-6753
Annales Academiae Scientiarum Fennicae. Mathematica;1239-629X;1798-2383
Annales Henri Poincare. A Journal of Theoretical and Mathematical Physics;1424-0637;1424-0661
Annales Scientifiques de l'Ecole Normale Superieure. Quatrieme Serie;0012-9593;1873-2151
Annales de l'Institut Henri Poincare. Analyse Non Lineaire;0294-1449;0294-1449
Annales de l'Institut Henri Poincare. Probabilites et Statistiques;0246-0203;1778-7017
Annales de la Faculte des Sciences de Toulouse. Mathematiques. Serie 6;0240-2963;2258-7519
Annali dell'Universita di Ferrara. Sezione VII. Scienze Matematiche;0430-3202;1827-1510
Annali della Scuola Normale Superiore di Pisa. Classe di Scienze. Serie V;0391-173X;2036-2145
"Annali di Matematica Pura ed Applicata. Serie Quarta. Fondazione Annali di Matematica Pura ed Applicata, c/o Dipartimento di Matematica ""U. Dini"", Firenze; Springer-Verlag, Heidelberg. English, French, German, Italian, English abstracts.";0373-3114;1618-1891
Annals of Mathematics. Second Series;0003-486X;1939-8980
Annals of Operations Research;0254-5330;1572-9338
Annals of the Academy of Romanian Scientists. Mathematics and its Applications.;2066-5997;2066-6594
Annals of the Institute of Statistical Mathematics;0020-3157;1572-9052
Applicable Analysis. An International Journal;0003-6811;1563-504X
Applicationes Mathematicae;1233-7234;1730-6280
Applications of Mathematics;0862-7940; 1572-9109
Applied Mathematical Modelling. Simulation and Computation for Engineering and Environmental Systems;0307-904X;1872-8480
Applied Mathematics Letters;0893-9659;1873-5452
Applied Mathematics Research Express;1687-1200;1687-1197
Applied Mathematics and Computation;0096-3003;
Applied Mathematics and Optimization;0095-4616;1432-0606
Applied Numerical Mathematics;0168-9274;
Applied Optics;1559-128X;2155-3165
Applied Physics B: Lasers and Optics;0946-2171;1432-0649
Applied Physics Letters;0003-6951;1077-3118
Applied and Computational Harmonic Analysis. Time-Frequency and Time-Scale Analysis, Wavelets, Numerical Algorithms, and Applications;1063-5203;1096-603X
Archiv der Mathematik;0003-889X;1420-8938
Archive for Rational Mechanics and Analysis;0003-9527;1432-0673
Archive of Applied Mechanics;0939-1533;1432-0681
Archives of Computational Methods in Engineering. State of the Art Reviews;1134-3060;1886-1784
Archives of Data Science Series A (Online-First);;2363-9881
Archäometrie und Denkmalpflege;0949-4057;
Association for Computing Machinery. Transactions on Mathematical Software;0098-3500;1557-7295
Asymptotic Analysis;0921-7134;1875-8576
Automatica. A Journal of IFAC, the International Federation of Automatic Control;0005-1098;1873-2836
Automation and Remote Control;0005-1179;1608-3032
BIT. Numerical Mathematics;0006-3835;1572-9125
Banach Center Publications;0137-6934;1730-6299
Bayesian Analysis;1936-0975;1931-6690
Behavior Research Methods, Instruments, and Computers;1554-351X;1554-3528
Beitrage zur Algebra und Geometrie. Contributions to Algebra and Geometry;0138-4821;2191-0383
Berliner Beiträge zur Archäometrie;0344-5089;
Bernoulli. Official Journal of the Bernoulli Society for Mathematical Statistics and Probability;1350-7265;
Biometrical Journal;0323-3847;1521-4036
Biometrics. Journal of the International Biometric Society;0006-341X;1541-0420
Biostatistics;1465-4644;1468-4357
Bollettino della Unione Matematica Italiana. ;1972-6724;2198-2759
Brain;0006-8950;1460-2156
Brazilian Journal of Probability and Statistics;0103-0752;2317-6199
Bulletin Mathematique de la Societe des Sciences Mathematiques de Roumanie. Nouvelle Serie;1220-3874;
Bulletin des Sciences Mathematiques;0007-4497;1952-4773
Bulletin of the Institute of Mathematics. Academia Sinica;0304-9825;
Bulletin of the Institute of Mathematics. Academia Sinica. New Series.;2304-7909 ;2304-7895
Bulletin of the London Mathematical Society;0024-6093;1469-2120
COMPEL. The International Journal for Computation and Mathematics in Electrical and Electronic Engineering;0332-1649;2054-5606
Calcolo. A Quarterly on Numerical Analysis and Theory of Computation;0008-0624;1126-5434
Calculus of Variations and Partial Differential Equations;0944-2669;1432-0835
Calcutta Statistical Association Bulletin;0008-0683;
Cambridge Studies in Advanced Mathematics;0950-6330;
Cardiovascular Engineering and Technology;1869-408X;1869-4098
Central European Journal of Mathematics;1895-1074;1644-3616
Chaos, Solitons and Fractals;0960-0779;1873-2887
Chaos. An Interdisciplinary Journal of Nonlinear Science;1054-1500;1089-7682
ChemPhysChem;1439-4235;1439-7641
Chemical Engineering Education;0009-2479;
Chemical Engineering Sciences;0570-1414;1303-6017
Chemical Engineering and Processing;0255-2701;1873-3204
Chemical Engineering and Technology;0930-7516;1521-4125
Chemical Society Reviews;0306-0012;1460-4744
Chinese Optics Letters;1671-7694;
Classical and Quantum Gravity;0264-9381;1361-6382
Clinical & Experimental Immunology;0009-9104;1365-2249
Colloids and Surfaces A: Physicochemical and Engineering Aspects;0927-7757;1873-4359
Combinatorial Chemistry & High Throughput Screening;1386-2073;1875-5402
Combustion Theory and Modelling;1364-7830;1741-3559
Combustion and Flame;0010-2180;1556-2921
Communications in Algebra;0092-7872;1532-4125
Communications in Computational Physics;1815-2406;1991-7120
Communications in Contemporary Mathematics;0219-1997;1793-6683
Communications in Mathematical Physics;0010-3616;1432-0916
Communications in Mathematical Sciences;1539-6746;1945-0796
Communications in Mathematics and Applications;0976-5905;0975-8607
Communications in Nonlinear Science and Numerical Simulation;1007-5704;1878-7274
Communications in Numerical Methods in Engineering;"1069-8299; 0748-8025";1099-0887
Communications in Partial Differential Equations;0360-5302;1532-4133
Communications in Statistics. Theory and Methods;0361-0926;1532-415X
Communications on Pure and Applied Analysis;1534-0392;1553-5258
Communications on Pure and Applied Mathematics;0010-3640;1097-0312
Communications on Stochastic Analysis;;0973-9599
Comptes Rendus Mathematique. Academie des Sciences. Paris;1631-073X;1778-3569
Computers & chemical engineering;0098-1354;1873-4375
Computational & Applied Mathematics;0101-8205;1807-0302
Computational Management Science;1619-697X;1619-6988
Computational Materials Science;0927-0256;1879-0801
Computational Mathematics and Mathematical Physics;0965-5425;1555-6662
Computational Methods in Applied Mathematics;1609-4840;1609-9389
Computational Optimization and Applications;0926-6003;1573-2894
Computational Statistics & Data Analysis;0167-9473;1872-7352
Computers & Geosciences;0098-3004;1873-7803
Computer Methods in Applied Mechanics and Engineering;0045-7825;1879-2138
Computer Methods in Biomechanics and Biomedical Engineering;1025-5842;1476-8259
Computer Physics Communications;0010-4655;1879-2944
Computer-Aided Design;0010-4485;1879-2685
Computers & Mathematics with Applications;0898-1221;1873-7668
Computers and Fluids. Pergamon Press, Oxford.;0045-7930;1879-0747
Computing and Visualization in Science;1432-9360;1433-0369
Computing. Archives for Scientific Computing;0010-485X;1436-5057
Concurrency and Computation: Practice and Experience;1532-0626;1532-0634
Constructive Approximation;0176-4276;1432-0940
Contemporary Mathematics;0219-1997;1793-6683
Continuum Mechanics and Thermodynamics;0935-1175;1432-0959
Control and Cybernetics;0324-8569;
Crystal Growth & Design;1528-7483;1528-7505
Czechoslovak Mathematical Journal;0011-4642;1572-9141
Decisions in Economics and Finance;1593-8883;1129-6569
Die Wurzel, Zeitschrift für Mathematik;0232-4539;
Discrete Dynamics in Nature and Society;1026-0226;1607-887X
Discrete and Continuous Dynamical Systems;1078-0947;1553-5231
Discrete and Continuous Dynamical Systems. Series S;1937-1632;1937-1179
Discrete and Continuous Dynamical Systems. Series B;1531-3492;1553-524X
Doklady Mathematics;1064-5624;1531-8362
Dopovidi Natsionalnoi Akademii Nauk Ukraini. Matematika;1025-6415;2518-153X
Dynamics of Continuous, Discrete & Impulsive Systems. Series A. Mathematical Analysis;1201-3390;1918-2538
Dynamics of Continuous, Discrete & Impulsive Systems. Series B. Applications & Algorithms;1492-8760;1918-2538
ESAIM Proceedings;;1270-900X
ESAIM. Control, Optimisation and Calculus of Variations;1292-8119;1262-3377
ESAIM. Probability and Statistics;1292-8100;1262-3318
ESAIM: Mathematical Modelling and Numerical Analysis;0764-583X;1290-3841
Econometric Theory;0266-4666;1469-4360
Econometrica. Journal of the Econometric Society;0012-9682;1468-0262
Economic Theory;0938-2259;1432-0479
Electrochemistry Communications;1388-2481;1873-1902
Electrochimica Acta;0013-4686;1873-3859
Electronic Communications in Probability;;1083-589X
Electronic Journal of Differential Equations;;1072-6691
Electronic Journal of Probability;;1083-6489
Electronic Journal of Statistics;;1935-7524
Electronic Transactions on Numerical Analysis;;1068-9613
Energy Systems;1868-3967;1868-3975
Engineering with Computers;0177-0667;1435-5663
Environmental Engineering Science;1092-8758;1557-9018
Environmental Pollution;0269-7491;1873-6424
Epigenetics;1559-2294;1559-2308
European Journal of Applied Mathematics;0956-7925;1469-4425
European Journal of Control;0947-3580;1435-5671
European Journal of Mechanics. A. Solids;0997-7538;1873-7285
European Journal of Operational Research;0377-2217;1872-6860
European Physical Journal H;2102-6459;2102-6467
Europhysics Letters;0295-5075;1286-4854
Evolution Equations and Control Theory;;2163-2480
Extremes. Statistical Theory and Applications in Science, Engineering and Economics;1386-1999;1572-915X
Far East Journal of Mathematical Sciences;"0971-4332; 0972-0871";
Finance and Stochastics;0949-2984;1432-1122
Finite Elements in Analysis and Design;0168-874X;1872-6925
Food Webs;2352-2496;
Foundations of Computational Mathematics;1615-3375;1615-3383
Frontiers in Microbiology;;1664-302X
Frontiers in Neuroscience;1662-4548;1662-453X
Frontiers in Psychology;;1664-1078
Frontiers of Mathematics in China;1673-3452;1673-3576
Fuel Cells;1615-6846;1615-6854
Functional Analysis and its Applications;0016-2663;1573-8485
Future Generation Computer Systems;0167-739X;1872-7115
GAMM-Mitteilungen;0936-7195;1522-2608
Genetics;0016-6731;1943-2631
Genome Medicine;;1756-994X
Genomics, Proteomics & Bioinformatics;1672-0229;2210-3244
HTM Zeitschrift für Werkstoffe. Wärmebehandlung. Fertigung. HTM Journal for Heat Treatment and Materials;0341-101x, 1867-2493;2194-1831
Hiroshima Mathematical Journal;0018-2079;
Hydrological Processes;0885-6087;1099-1085
IEEE Journal of Quantum Electronics;0018-9197;1558-1713
IEEE Journal of Selected Topics in Quantum Electronics;1077-260X;1558-4542
IEEE Photonics Journal;;1943-0655
IEEE Signal Processing Letters;1070-9908;1558-2361
IEEE Transactions on Automatic Control;0018-9286;1558-2523
IEEE Transactions on Automation Science and Engineering;1545-5955;1558-3783
IEEE Transactions on Control Systems Technology;1063-6536;1558-0865
IEEE Transactions on Electron Devices;0018-9383;1557-9646
IEEE Transactions on Information Theory;0018-9448;1557-9654
IEEE Transactions on Medical Imaging;0278-0062;1558-254X
IEEE Transactions on Network Science and Engineering;;2327-4697
IEEE Transactions on Pattern Analysis and Machine Intelligence;;0162-8828
IEEE Transactions on Power Systems;0885-8950;1558-0679
IEEE Transactions on Signal Processing;1053-587X;1941-0476
IEEE Transactions on Sustainable Energy;1949-3029;1949-3037
IEEE Transactions on Wireless Communications;1536-1276;1558-2248
IEEE Wireless Communications Letters;2162-2337;2162-2345
IMA Journal of Applied Mathematics;0272-4960;1464-3634
IMA Journal of Numerical Analysis;0272-4979;1464-3642
INFORMS Journal on Computing;1091-9856;1526-5528
Indiana University Mathematics Journal;0022-2518;1943-5274
Information Processes;;1819-5822
Information Processing Letters;0020-0190;1872-6119
Information Sciences. An International Journal;0020-0255;1872-6291
Insurance: Mathematics & Economics;0167-6687;1873-5959
Integral Equations and Operator Theory;0378-620X;1420-8989
Interfaces and Free Boundaries;1463-9963;1463-9971
International Journal for Numerical Methods in Biomedical Engineering;2040-7939;2040-7947
International Journal for Numerical Methods in Engineering;0029-5981;1097-0207
International Journal for Numerical Methods in Fluids;0271-2091;1097-0363
International Journal of Advances in Engineering Sciences and Applied Mathematics;0975-0770;0975-5616
International Journal of Bifurcation and Chaos in Applied Sciences and Engineering;0218-1274;1793-6551
International Journal of Earth Sciences;1437-3254;1437-3262
International Journal of Engineering Education;0742-0269;0949-149X
International Journal of Engineering Science;0020-7225;1879-2197
International Journal of Environment and Pollution;0957-4352;1741-5101
International Journal of High Performance Computing Applications;1094-3420;1741-2846
International Journal of Management Science and Engineering Management;1750-9653;1750-9661
International Journal of Modern Physics B;0217-9792;1793-6578
International Journal of Numerical Analysis and Modeling;1705-5105;
International Journal of Numerical Modelling: Electronic Networks, Devices and Fields;0894-3370;1099-1204
International Journal of Portfolio Analysis and Management;2048-2361;2048-237X
International Journal of Robust and Nonlinear Control;1049-8923;1099-1239
International Journal of Solids and Structures;0020-7683;1879-2146
International Journal of Stochastic Analysis;2090-3332;2090-3340
International Journal of Theoretical and Applied Finance;0219-0249;1793-6322
International Journal on Finite Volumes;;1634-0655
International Mathematics Research Notices;1073-7928;1687-0247
International mathematics research papers;1687-3017;1687-3009
International Series in Operations Research & Management Science;0884-8289;
International Series of Numerical Mathematics;0373-3149;
Inventiones mathematicae;0020-9910;1432-1297
Inverse Problems and Imaging;1930-8337;1930-8345
Inverse Problems in Science and Engineering;1741-5977;1741-5985
Inverse Problems;0266-5611;1361-6420
Iranian Journal of Numerical Analysis and Optimization;2423-6977;2423-6969
Journal of Aerosol Science;0021-8502;1879-1964
The Journal of Derivatives;1074-1240;
JETP Letters;0021-3640;1090-6487
Journal d'Analyse Mathematique;0021-7670;1565-8538
Journal de Mathématiques Pures et Appliquées;0021-7824;1776-3371
Journal für die Reine und Angewandte Mathematik;0075-4102;1435-5345
Journal of Applied Analysis;1425-6908;1869-6082
Journal of Applied Mathematics;1110-757X;1687-0042
Journal of Applied Physics;0021-8979;1089-7550
Journal of Applied Probability;0021-9002;1475-6072
Journal of Approximation Theory;0021-9045;1096-0430
Journal of Bioinformatics and Computational Biology;0219-7200;1757-6334
Journal of Business & Economic Statistics;0735-0015;1537-2707
Journal of Cellular Physiology;"0021-9541; 0095-9898";1097-4652
Journal of Cerebral Blood Flow and Metabolism;0271-678X;1559-7016
Journal of Chemical Physics;0021-9606;1089-7690
Journal of Colloid and Interface Science;0021-9797;1095-7103
Journal of Communications Technology and Electronics;1064-2269;1555-6557
Journal of Complex Networks;2051-1310;2051-1329
Journal of Complexity;0885-064X;1090-2708
Journal of Computational Electronics;1569-8025;1572-8137
Journal of Computational Finance;1460-1559;1755-2850
Journal of Computational Mathematics;0254-9409;1991-7139
Journal of Computational Physics;0021-9991;1090-2716
Journal of Computational Science;1877-7503;
Journal of Computational and Applied Mathematics;0377-0427;1879-1778
Journal of Computational and Graphical Statistics;1061-8600;1537-2715
Journal of Computational and Nonlinear Dynamics;1555-1415;1555-1423
Journal of Computational and Theoretical Transport;2332-4309;2332-4325
Journal of Convex Analysis;0944-6532;2363-6394
Journal of Cosmology and Astroparticle Physics;;1475-7516
Journal of Crystal Growth;0022-0248;1873-5002
Journal of Differential Equations;0022-0396;1090-2732
Journal of Dynamics and Differential Equations;1040-7294;1572-9222
